Artist,Title,Count
Charli XCX,BRAT,5
Mk.gee,Rockman,4
2hollis,Boy,2
Adrianne Lenker,Bright Future,2
Bladee,Cold Visions,2
Caroline Polachek,"Desire, I Want To Turn Into You (Everasking Edition)",2
Corey Lingo,For What It's Worth,2
GG12,GG_BLENDS2,2
JPEGMAFIA,I LAY DOWN MY LIFE FOR YOU,2
Kendrick Lamar,GNX,2
Magdalena Bay,Imaginal Disk,2
Parannoul,Sky Hundred,2
Stoneyard,Be Strangers,2
The Marias,Submarine,2
"Tyler, the Creator",CHROMAKOPIA,2
Addison Rae,Diet Pepsi,1
Amyl and the Sniffers,Cartoon Darkness,1
Autumn Rhythm,Nothing Gold,1
Bassvictim,Basspunk,1
beabadoobee,This Is How Tomorrow Moves,1
"Bladee, Ecco 2K, Thaiboy Digital",TL;DR,1
Bring Me The Horizon,POST HUMAN: NeX GEn,1
Certified Trapper,Trappernese,1
Chief Keef,Almighty So 2,1
Cigarettes After Sex,X’s,1
Clairo,Charm,1
Crizin da Z.O.,Acelero,1
Damien Jurado,Far Out To Where We Were Then: The Maraqopa Demos,1
death's dynamic shroud & galen tipton,You Like Music,1
Denzel Curry,King of the Mischievous South Vol. 2,1
DJ Sabrina The Teenage DJ,Hex,1
Doechii,Alligator Bites Never Heal,1
ESP,Promise,1
Fakemink,Wild One,1
Fcukers,Baggy$$,1
"Fimiguerrero, Len & Lancey Foux",Conglomerate,1
Four Tet,Three,1
Gawshock,Cool Drink,1
Ginger Root,SHINBANGUMI,1
Gordie Greep,The New Sound,1
Gucci Mane,Greatest of All Trappers (Gangsta Grillz Edition),1
Hinds,VIVA HINDS,1
IDLES,TANGK,1
Iglooghost,Tidal Memory Exo,1
J.P.,Bad Bitty,1
Joey Valence & Brae,NO HANDS,1
Jooyoung,Sphere,1
Kali Uchis,ORQUÍDEAS,1
Kim Frasier,Indio,1
Kiryano,senescence,1
Lizzy McAlpine,Older (and Wiser),1
Lucki,Gemini!,1
Mannequin Pussy,I Got Heaven,1
Mdou Moctar,Funeral for Justice,1
MICHELLE,Songs About You Specifically,1
MIKE,Pinball,1
MJ Lenderman,Manning Fireworks,1
"MJ Nebreda, Danny From Miami, Danny Daze",Con Cariño,1
Molly Lewis,On The Lips,1
Mount Eerie,Night Palace,1
Nala Sinephro,Continuum 1,1
NEW YORK,Rapstar*,1
NewJeans,Supernatural,1
Nia Archives,Silence Is Loud,1
NxWorries,Why Lawd?,1
Oklou,Choke Enough,1
Otomekaiga,Kyoukai,1
Pluko,Bleach [Hi,1
Poppy,Negative Spaces,1
Porter Robinson,SMILE! :D,1
"Rosalia, Ralphie Choo",Omega (feat.Ralphine Choo),1
SahBabii,Saaheem,1
Sarah Kinsley,Escaper,1
Sematary,Bloody Angel,1
SgLilyy,rp privateserver,1
smokedope2016,The Comeup,1
SPIRIT OF THE BEEHIVE,YOU’LL HAVE TO LOSE SOMETHING,1
SUMIN & Slom,MINISERIES 2,1
Swapa,Armageddon,1
Swoopy & pradaaslife,Treasure Hunt 2,1
Tacoma Radar,It's Getting Dark,1
The Lemon Twigs,A Dream is All we Know,1
toe,LONELINESS WILL SHINE,1
tomcbumpz,GOOD LISTENER,1
Wavedash,Tempo,1
Waxahatchee (ft. MJ Lenderman),Right Back to it,1
xaviersobased,with 2 (hosted by d9lton),1
Yeat,2093,1
YT,Black & Tan,1
