Artist,Count
2hollis,2
Addison Rae,1
Adrianne Lenker,2
Amyl and the Sniffers,1
Autumn Rhythm,1
Bassvictim,1
Bladee,2
"Bladee, Ecco 2K, Thaiboy Digital",1
Bring Me The Horizon,1
Caroline Polacheck,1
Caroline Polachek,1
Certified Trapper,1
Charli XCX,2
Charli xcx,3
Chief Keef,1
Cigarettes After Sex,1
Clairo,1
Corey Lingo,2
Crizin da Z.O.,1
DJ Sabrina The Teenage DJ,1
Damien Jurado,1
Denzel Curry,1
Doechii,1
ESP,1
Fakemink,1
Fcukers,1
"Fimiguerrero, Len & Lancey Foux",1
Four Tet,1
GG12,2
Gawshock,1
Ginger Root,1
Gordie Greep,1
Gucci Mane,1
Hinds,1
IDLES,1
Iglooghost,1
J.P.,1
JPEGMAFIA,2
Joey Valence & Brae,1
Jooyoung,1
Kali Uchis,1
Kendrick Lamar,2
Kim Frasier,1
Kiryano,1
Lizzy McAlpine,1
Lucki,1
MICHELLE,1
MIKE,1
MJ Lenderman,1
"MJ Nebreda, Danny From Miami, Danny Daze",1
Magdalena Bay,2
Mannequin Pussy,1
Mdou Moctar,1
Mk.Gee,1
Mk.gee,3
Molly Lewis,1
Mount Eerie,1
NEW YORK,1
Nala Sinephro,1
NewJeans,1
Nia Archives,1
NxWorries,1
Oklou,1
Otomekaiga,1
Parannoul,2
Pluko,1
Poppy,1
Porter Robinson,1
"Rosalia, Ralphie Choo",1
SPIRIT OF THE BEEHIVE,1
SUMIN & Slom,1
SahBabii,1
Sarah Kinsley,1
Sematary,1
SgLilyy,1
Stoneyard,2
Swapa,1
Swoopy & pradaaslife,1
Tacoma Radar,1
The Lemon Twigs,1
The Maria's,1
The Marías,1
Tyler the Creator,1
"Tyler, the Creator",1
Wavedash,1
Waxahatchee (ft. MJ Lenderman),1
YT,1
Yeat,1
beabadoobee,1
death's dynamic shroud & galen tipton,1
smokedope2016,1
toe,1
tomcbumpz,1
xaviersobased,1
